Descricao;Valor_HM;Convenio
Amputação abdômino-perineal do reto (completa);0,0;AMBEP
Amputação abdômino-perineal do reto (completa) por videolaparoscopia;0,0;AMBEP
Amputação ao nível da coxa - tratamento cirúrgico;0,0;AMBEP
Amputação ao nível do antebraço - tratamento cirúrgico;0,0;AMBEP
Amputação ao nível do braço - tratamento cirúrgico;0,0;AMBEP
Amputação ao nível do pé - tratamento cirúrgico;0,0;AMBEP
Amputação ao nível do tornozelo - tratamento cirúrgico;0,0;AMBEP
Amputação ao nível dos metacarpianos - tratamento cirúrgico;0,0;AMBEP
Amputação bilateral (preparação do coto);0,0;AMBEP
Amputação bilateral (treinamento protético);0,0;AMBEP
Amputação de dedo (cada) - tratamento cirúrgico;0,0;AMBEP
Amputação de perna - tratamento cirúrgico;0,0;AMBEP
Amputação do reto por procidência;0,0;AMBEP
Amputação parcial;0,0;AMBEP
Amputação total;0,0;AMBEP
Amputação transmetacarpiana;0,0;AMBEP
Amputação transmetacarpiana com transposição de dedo;0,0;AMBEP
Amputação unilateral (preparação do coto);0,0;AMBEP
Amputação unilateral (treinamento protético);0,0;AMBEP
Amputação/desarticulação de pododáctilos (por segmento) - tratamento cirúrgico;0,0;AMBEP
Anal Swab, pesquisa de oxiúrus;0,0;AMBEP
Analgesia controlada pelo paciente - por dia subseqüente;0,0;AMBEP
Analgesia por dia subseqüente. Acompanhamento de analgesia por cateter peridural;0,0;AMBEP
Análise computadorizada da voz;0,0;AMBEP
Análise computadorizada de papila e/ou fibras nervosas - monocular;0,0;AMBEP
Análise computadorizada do segmento anterior - monocular;0,0;AMBEP
Análise da proporcionalidade cineantropométrica;0,0;AMBEP
Análise de DNA com enzimas de restrição por enzima utilizada, por amostra;0,0;AMBEP
Análise de DNA fetal por enzima de restrição, por enzima utilizada, por amostra (adicional nos exames em que já foi feito o PCR 4.05.03.06-2 e depende da enzima para estabelecer o diagnóstico);0,0;AMBEP
Análise de DNA fetal por sonda ou PCR por locus, por amostra;0,0;AMBEP
Análise de DNA pela técnica multiplex por locus extra, por amostra;0,0;AMBEP
Análise de DNA pela técnica multiplex por locus, por amostra;0,0;AMBEP
Análise de DNA por sonda, ou PCR por locus, por amostra;0,0;AMBEP
Anastomose biliodigestiva intra-hepática;0,0;AMBEP
Anastomose linfovenosa;0,0;AMBEP
ANATOMIA PATOLÓGICA E CITOPATOLOGIA;0,0;AMBEP
ANATOMOPATOLOGIO - Procedimento diagnóstico em biópsia simples;170,0;AMBEP
Androstenediona;44,0;AMBEP
Anestesia geral ou condutiva para realização de bloqueio neurolítico;0,0;AMBEP
ANESTESIA PARA EXAMES DE RESSONÂNCIA MAGNÉTICA;600,0;AMBEP
ANESTESIA PARA EXAMES DE TOMOGRAFIA COMPUTADORIZADO;0,0;AMBEP
ANESTESIA REGIONAL;0,0;AMBEP
Aneurisma de aorta abdominal infra-renal;0,0;AMBEP
Aneurisma de aorta abdominal supra-renal;0,0;AMBEP
Aneurisma de aorta-torácica - correção cirúrgica;0,0;AMBEP
Aneurisma de artérias viscerais;0,0;AMBEP
Aneurisma de axilar, femoral, poplítea;0,0;AMBEP
Aneurisma de carótida, subclávia, ilíaca;0,0;AMBEP
Aneurisma roto ou trombosado de aorta abdominal abaixo da artéria renal;0,0;AMBEP
Aneurismas - outros;0,0;AMBEP
Aneurismas rotos ou trombosados - outros;0,0;AMBEP
Aneurismas rotos ou trombosados de aorta abdominal acima da artéria renal;0,0;AMBEP
Aneurismas rotos ou trombosados de artérias viscerais;0,0;AMBEP
Aneurismas rotos ou trombosados de axilar, femoral, poplítea;0,0;AMBEP
Aneurismas rotos ou trombosados de carótida, subclávia, ilíaca;0,0;AMBEP
Aneurismas rotos ou trombosados torácicos ou tóraco-abdominais;0,0;AMBEP
Aneurismas torácicos ou tóraco-abdominais - correção cirúrgica;0,0;AMBEP
Aneurismectomia de VE;0,0;AMBEP
Anfetaminas, dosagem;0,0;AMBEP
Angiofibroma - ressecção transmaxilar e/ou transpalatina;0,0;AMBEP
Angiofluoresceinografia - monocular;0,0;AMBEP
Angiografia com indocianina verde - monocular;0,0;AMBEP
Angiografia por cateterismo não seletivo de grande vaso;0,0;AMBEP
Angiografia por cateterismo seletivo de ramo primário - por vaso;0,0;AMBEP
Angiografia por cateterismo superseletivo de ramo secundário ou distal - por vaso;0,0;AMBEP
Angiografia por punção;0,0;AMBEP
Angiografia por rm (por segmento);0,0;AMBEP
Angiografia pós-operatória de controle;0,0;AMBEP
Angiografia radioisotópica;0,0;AMBEP
Angiografia transoperatória de posicionamento;0,0;AMBEP
Angioplastia arterial ou venosa de anastomose vascular de fígado transplantado;0,0;AMBEP
Angioplastia arterial ou venosa de anastomose vascular de rim transplantado;0,0;AMBEP
Angioplastia de aorta para tratamento de coarctação;0,0;AMBEP
Angioplastia de artéria visceral - por vaso;0,0;AMBEP
Angioplastia de ramo intracraniano;0,0;AMBEP
Angioplastia de ramos hipogástricos para tratamento de impotência;0,0;AMBEP
Angioplastia de tronco supra-aórtico;0,0;AMBEP
Angioplastia de tronco venoso;0,0;AMBEP
Angioplastia renal para tratamento de hipertensão renovascular ou outra condição;0,0;AMBEP
Angioplastia renal unilateral a céu aberto;0,0;AMBEP
Angioplastia renal unilateral transluminal;0,0;AMBEP
Angioplastia transluminal da aorta ou ramos ou da artéria pulmonar e ramos (por vaso);0,0;AMBEP
Angioplastia transluminal percutânea;0,0;AMBEP
Angioplastia transluminal percutânea de bifurcação e de tronco com implante de stent;0,0;AMBEP
Angioplastia transluminal percutânea de múltiplos vasos, com implante de stent;0,0;AMBEP
Angioplastia transluminal percutânea para tratamento de obstrução arterial;0,0;AMBEP
Angioplastia transluminal percutânea por balão (1 vaso);0,0;AMBEP
Angioplastia transluminal transoperatória - por artéria;0,0;AMBEP
Angioplastia venosa para tratamento de síndrome de BUDD-CHIARI;0,0;AMBEP
ANGIO-RM  CRANIO/PESC/TOR/ABD/PELVE C/G;0,0;AMBEP
Angio-RM (crânio ou pescoço ou tórax ou abdome superior ou pelve) - arterial ou venosa;0,0;AMBEP
Angio-RM arterial de abdome superior;0,0;AMBEP
Angio-RM arterial de crânio;1200,0;AMBEP
Angio-RM arterial de membro inferior (unilateral);0,0;AMBEP
Angio-RM arterial de membro superior (unilateral);0,0;AMBEP
Angio-RM arterial de pelve;0,0;AMBEP
Angio-RM arterial de pescoço;0,0;AMBEP
Angio-RM arterial pulmonar;0,0;AMBEP
ANGIO-RM cranio (venosa c/ arterial);1200,0;AMBEP
Angio-RM de aorta abdominal;0,0;AMBEP
Angio-RM de aorta torácica;0,0;AMBEP
Angio-RM venosa de abdome superior;0,0;AMBEP
Angio-RM venosa de crânio;650,0;AMBEP
Angio-RM venosa de membro inferior (unilateral);0,0;AMBEP
Angio-RM venosa de membro superior (unilateral);0,0;AMBEP
Angio-RM venosa de pelve;0,0;AMBEP
Angio-RM venosa de pescoço;0,0;AMBEP
Angio-RM venosa pulmonar;0,0;AMBEP
ANGIORRADIOLOGIA;0,0;AMBEP
ANGIOTOMOGRAFIA - Angiotomografia Abdomem total;850,0;AMBEP
ANGIOTOMOGRAFIA - Aorta Abdominal;850,0;AMBEP
ANGIOTOMOGRAFIA - Aorta Torácica;850,0;AMBEP
ANGIOTOMOGRAFIA - Carótidas;850,0;AMBEP
ANGIOTOMOGRAFIA - Crânio;850,0;AMBEP
ANGIOTOMOGRAFIA - Membros Inferiores;850,0;AMBEP
ANGIOTOMOGRAFIA - Membros Superiores;850,0;AMBEP
ANGIOTOMOGRAFIA - Renais;850,0;AMBEP
ANGIOTOMOGRAFIA - Score de Calcio;850,0;AMBEP
ANGIOTOMOGRAFIA - Tórax  ;850,0;AMBEP
ANGIOTOMOGRAFIA - Tórax com protocolo de TEP;850,0;AMBEP
Angiotomografia (crânio ou pescoço ou tórax ou abdome superior ou pelve) - arterial ou venosa;0,0;AMBEP
Angiotomografia arterial de abdome superior;850,0;AMBEP
Angiotomografia arterial de crânio;850,0;AMBEP
Angiotomografia arterial de membro inferior;0,0;AMBEP
Angiotomografia arterial de membro superior;0,0;AMBEP
Angiotomografia arterial de pelve;0,0;AMBEP
Angiotomografia arterial de pescoço;0,0;AMBEP
Angiotomografia arterial de tórax;0,0;AMBEP
Angiotomografia arterial pulmonar;0,0;AMBEP
ANGIOTOMOGRAFIA CISVALE;0,0;AMBEP
Angiotomografia de aorta abdominal;0,0;AMBEP
Angiotomografia de aorta torácica;0,0;AMBEP
Angiotomografia venosa de abdome superior;0,0;AMBEP
Angiotomografia venosa de crânio;0,0;AMBEP
Angiotomografia venosa de membro inferior;0,0;AMBEP
Angiotomografia venosa de membro superior;0,0;AMBEP
Angiotomografia venosa de pelve;0,0;AMBEP
Angiotomografia venosa de pescoço;0,0;AMBEP
Angiotomografia venosa de tórax;0,0;AMBEP
Angiotomografia venosa pulmonar;0,0;AMBEP
Angiotomografia_x000D_;0,0;AMBEP
Anomalia anorretal - correção via sagital posterior;0,0;AMBEP
Anomalia anorretal - tratamento cirúrgico via abdômino-perineal;0,0;AMBEP
Anomalia anorretal - tratamento cirúrgico via perineal;0,0;AMBEP
Anorretomiomectomia;0,0;AMBEP
Antebraco;0,0;AMBEP
Antebraço;0,0;AMBEP
ANTEBRAÇO;0,0;AMBEP
Antebraço;70,0;AMBEP
ANTI HBS, HEPATITE B (ANTI-ANTIGENO DE SUPERFICIE);36,6;AMBEP
Anti-actina;0,0;AMBEP
Antibiograma (teste de sensibilidade e antibióticos e quimioterápicos), por bactéria - não automatizado;0,0;AMBEP
Antibiograma automatizado;0,0;AMBEP
Antibiograma p/ bacilos álcool-resistentes - drogas de 2 linhas;0,0;AMBEP
Antibióticos, dosagem no soro, cada;0,0;AMBEP
Anticandida - IgG e IgM (cada);0,0;AMBEP
Anticardiolipina - IgA;25,0;AMBEP
Anticardiolipina - IgG;0,0;AMBEP
Anticardiolipina - IgM;0,0;AMBEP
Anticentrômero;0,0;AMBEP
Anticoagulante lúpico, pesquisa;0,0;AMBEP
Anticorpo anti A e B;0,0;AMBEP
Anticorpo anti Saccharamyces - ASCA;0,0;AMBEP
Anticorpo anti-DNAse B;0,0;AMBEP
Anticorpo antiespermatozóide, pesquisa;0,0;AMBEP
Anticorpo anti-hormônio do crescimento;0,0;AMBEP
Anticorpo antimieloperoxidase, MPO;0,0;AMBEP
Anticorpo anti-receptor de TSH (TRAB);0,0;AMBEP
Anticorpo antivírus da hepatite E (total);0,0;AMBEP
Anticorpos Anti Peptídeo Cíclico Citrulinado (Anti-CCP);93,69;AMBEP
Anticorpos Anti PGL-1;0,0;AMBEP
Anticorpos antiendomisio - IgG, IgM, IgA (cada);213,0;AMBEP
Anticorpos anti-ilhota de langherans;0,0;AMBEP
Anticorpos anti-influenza A,  IgG;0,0;AMBEP
Anticorpos anti-influenza A,  IgM;0,0;AMBEP
Anticorpos anti-influenza B, IgG;0,0;AMBEP
Anticorpos anti-influenza B, IgM;0,0;AMBEP
Anticorpos antiinsulina;0,0;AMBEP
Anticorpos antiplaquetários, citometria de fluxo;0,0;AMBEP
Anticorpos antitireóide (tireoglobulina);50,0;AMBEP
Anticorpos eritrocitários naturais e imunes - titulagem;0,0;AMBEP
Anticorpos irregulares;0,0;AMBEP
Anticorpos irregulares, pesquisa (meio salino a temperatura ambiente e 37º e teste indireto de coombs);0,0;AMBEP
Anticorpos naturais - isoaglutininas, pesquisas;0,0;AMBEP
Anticorpos naturais - isoaglutininas, titulagem;0,0;AMBEP
Anticortex supra-renal;0,0;AMBEP
Antidesoxiribonuclease B, neutralização quantitativa;0,0;AMBEP
Anti-DMP;0,0;AMBEP
Anti-DNA;0,0;AMBEP
Antiescleroderma (SCL 70);0,0;AMBEP
Antifígado (glomérulo, tub. Renal corte rim de rato), IFI;0,0;AMBEP
Antígeno Austrália (HBSAG);0,0;AMBEP
Antígeno carcinoembriogênico (CEA);0,0;AMBEP
Antígeno específico prostático livre (PSA livre);0,0;AMBEP
Antígeno específico prostático total (PSA);29,34;AMBEP
Antígeno NS1 do vírus da dengue;29,0;AMBEP
Antígenos fúngicos, pesquisa;0,0;AMBEP
Antígenos metílicos solúveis do BCG (1 aplicação);0,0;AMBEP
Antigliadina (glúten) - IgA;76,0;AMBEP
Antigliadina (glúten) - IgG;0,0;AMBEP
Antigliadina (glúten) - IgM;0,0;AMBEP
Anti-hialuronidase, determinação da;0,0;AMBEP
Anti-JO1;0,0;AMBEP
Anti-LA/SSB;0,0;AMBEP
Anti-LKM-1;0,0;AMBEP
Antimembrana basal;0,0;AMBEP
Antimicrossomal;0,0;AMBEP
Antimitocondria;0,0;AMBEP
Antimitocondria, M2, pesquisa.;0,0;AMBEP
Antimúsculo cardíaco;0,0;AMBEP
Antimúsculo estriado;0,0;AMBEP
Antimúsculo liso;0,0;AMBEP
Antineutrófilos (anca)  C;0,0;AMBEP
Antineutrófilos (anca)  P;0,0;AMBEP
Antiparietal;0,0;AMBEP
Antiperoxidase tireoideana;0,0;AMBEP
Anti-RNP;0,0;AMBEP
Anti-Ro/SSA;0,0;AMBEP
Anti-Sm;0,0;AMBEP
Anti-TPO;50,0;AMBEP
Antitrombina III, dosagem;0,0;AMBEP
Antrostomia maxilar intranasal;0,0;AMBEP
Antrostomia maxilar intranasal por videoendoscopia;0,0;AMBEP
Antrostomia maxilar, etmoidectomia etc a laser (abertura de todas as cavidades paranasais a laser);0,0;AMBEP
ÂNUS;0,0;AMBEP
Anuscopia (interna e externa);0,0;AMBEP
Aortografia abdominal por punção translombar;0,0;AMBEP
APARELHO ORTODÔNTICO DENTAL;1,0;AMBEP
Aparelho urinário (rins, ureteres e bexiga);120,0;AMBEP
Aparelho urinário feminino (rins, ureteres e bexiga);90,0;AMBEP
Aparelho urinário masculino (rins, ureteres, bexiga e próstata);120,0;AMBEP
APARELHOS GESSADOS;0,0;AMBEP
Apêndice pré-auricular - ressecção;0,0;AMBEP
Apendicectomia;0,0;AMBEP
Apendicectomia por videolaparoscopia;0,0;AMBEP
Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para;0,0;AMBEP
Aplicação de medula óssea ou células tronco;0,0;AMBEP
Aplicação de placa radiativa episcleral;0,0;AMBEP
APLICAÇÃO DE VITAMINA;0,0;AMBEP
APLICAÇÃO EV;0,0;AMBEP
APLICAÇÃO IM;0,0;AMBEP
APLICAÇÃO VITAMINA B12;200,0;AMBEP
Apolipoproteína A (Apo A);31,15;AMBEP
Apolipoproteína B (Apo B);23,98;AMBEP
Apolipoproteína E, genotipagem;0,0;AMBEP
Aponevrose palmar (ressecção) - tratamento cirúrgico;0,0;AMBEP
Apple-Peel - tratamento cirúrgico;0,0;AMBEP
Arcada dentária (por arcada);0,0;AMBEP
Arcada zigomatica_malar:a.p._obliquas;0,0;AMBEP
Arcos zigomáticos ou malar ou apófises estilóides;70,0;AMBEP
Aritenoidectomia microcirúrgica;0,0;AMBEP
Aritenoidectomia microcirúrgica endoscópica;0,0;AMBEP
Aritenoidectomia ou aritenopexia via externa;0,0;AMBEP
Artéria hipogástrica - unilateral - qualquer técnica;0,0;AMBEP
Artéria maxilar interna - ligadura transmaxilar;0,0;AMBEP
Artéria maxilar interna - ligadura transmaxilar por videoendoscopia;0,0;AMBEP
Artéria mesentérica inferior - qualquer técnica;0,0;AMBEP
Artéria mesentérica superior - qualquer técnica;0,0;AMBEP
Artéria renal bilateral revascularização;0,0;AMBEP
Arterioplastia da femoral profunda (profundoplastia);0,0;AMBEP
Articulação (esternoclavicular ou ombro ou cotovelo ou punho ou sacroilíacas ou coxofemoral ou joelho ou pé) - unilateral;420,0;AMBEP
Articulacao acromio_clavicular;0,0;AMBEP
Articulação acromioclavicular;0,0;AMBEP
ARTICULAÇÃO COXO-FEMORAL;0,0;AMBEP
Articulação coxofemoral (quadril);70,0;AMBEP
Articulacao coxo-femural (cada lado);0,0;AMBEP
Articulacao escapulo_umeral;0,0;AMBEP
Articulação escapuloumeral (ombro);70,0;AMBEP
ARTICULAÇÃO ESCÁPULO-UMERAL E CINTURA ESCAPULAR;0,0;AMBEP
Articulacao esterno_clavicular;0,0;AMBEP
Articulação esternoclavicular;70,0;AMBEP
Articulacao temporo_mandibular bilateral;0,0;AMBEP
Articulação temporomandibular - bilateral;70,0;AMBEP
Articulação temporomandibular (bilateral);1500,0;AMBEP
Articulacao tibio-tarsica;0,0;AMBEP
Articulação tibiotársica (tornozelo);70,0;AMBEP
Articulacoes sacro-iliacas;0,0;AMBEP
Articulações sacroilíacas;0,0;AMBEP
Articulações temporomandibulares;0,0;AMBEP
Articular (por articulação);130,0;AMBEP
Articular (por articulação);600,0;AMBEP
Artrite ou osteoartrite - tratamento cirúrgico;0,0;AMBEP
Artrite ou osteoartrite dos ossos do pé (inclui osteomielite) - tratamento cirúrgico;0,0;AMBEP
Artrite séptica  - tratamento cirúrgico;0,0;AMBEP
Artrite séptica - tratamento cirúrgico;0,0;AMBEP
Artrodese - fixador externo;0,0;AMBEP
Artrodese - tratamento cirúrgico;0,0;AMBEP
Artrodese (com ou sem alongamento simultâneo) com fixador externo;0,0;AMBEP
Artrodese / fratura de acetábulo (ligamentotaxia) com fixador externo;0,0;AMBEP
Artrodese ao nível do ombro - tratamento cirúrgico;0,0;AMBEP
Artrodese ao nível do tornozelo - tratamento cirúrgico;0,0;AMBEP
Artrodese coxo-femoral em geral - tratamento cirúrgico;0,0;AMBEP
Artrodese da coluna c/ instrumentação por segmento;0,0;AMBEP
Artrodese de coluna via anterior ou póstero lateral - tratamento cirúrgico;0,0;AMBEP
Artrodese de joelho - tratamento cirúrgico;0,0;AMBEP
Artrodese de tarso e/ou médio pé - tratamento cirúrgico;0,0;AMBEP
Artrodese entre os ossos do carpo;0,0;AMBEP
Artrodese interfalangeana / metacarpofalangeana -  tratamento cirúrgico;0,0;AMBEP
Artrodese metatarso - falângica ou interfalângica - tratamento cirúrgico;0,0;AMBEP
Artrodese rádio-cárpica ou do punho;0,0;AMBEP
Artrodiastase - tratamento cirúrgico com fixador externo;0,0;AMBEP
Artrodiastase de quadril;0,0;AMBEP
Artrografia;0,0;AMBEP
ARTROGRAFIA DO JOELHO DIREITO;0,0;AMBEP
Artrografia ou pneumoartrografia;0,0;AMBEP
Artroplastia (qualquer técnica ou versão de quadril) - tratamento cirúrgico;0,0;AMBEP
Artroplastia com implante - tratamento cirúrgico;0,0;AMBEP
Artroplastia com implante na mão (MF e IF) múltipla;0,0;AMBEP
